timestamp_ns,pid,comm,cpu,delay_us,event
10526864302119,637077,iperf3,5,2,switch
10527032019299,291983,kworker/4:1,4,5,switch
10527144321565,637077,iperf3,5,2,switch
10527254901181,637077,iperf3,5,2,switch
10527342978222,637077,iperf3,1,2,switch
10527496097421,637077,iperf3,3,4,switch
15:53:50
10527560627794,638287,pool-tracker-mi,1,13,switch
10527604616008,48,ksoftirqd/5,5,5,switch
10527791513727,637077,iperf3,5,2,switch
10527956955621,637077,iperf3,1,2,switch
10528108539918,637077,iperf3,1,2,switch
10528303358510,637077,iperf3,7,2,switch
10528413083488,637076,iperf3,2,1,switch
10528437353057,637076,iperf3,2,1,switch
10528460927066,6201,language_server,2,2,switch
10528490554572,637076,iperf3,2,1,switch
10528518203972,637076,iperf3,2,1,switch
10528541196805,637076,iperf3,2,1,switch
15:53:51
10528572919575,638706,bash,0,8,switch
10528700210025,638286,gdbus,1,15,switch
10528951976877,637077,iperf3,1,2,switch
10529160933310,6201,language_server,0,2,switch
10529307481140,54,ksoftirqd/6,6,4,switch
10529373173638,637077,iperf3,3,6,switch
10529498272516,3786,gmain,5,3,switch
15:53:52
10529617181080,637077,iperf3,2,2,switch
10529708991137,3960,tracker-miner-f,7,3,switch
10529907460010,637077,iperf3,1,2,switch
10530083250209,637077,iperf3,7,14,switch
10530232418060,637077,iperf3,6,2,switch
10530329351895,637077,iperf3,6,2,switch
10530416052957,637076,iperf3,6,1,switch
10530440973242,48,ksoftirqd/5,5,6,switch
10530465713571,637077,iperf3,5,2,switch
10530494107360,6210,language_server,6,1,switch
15:53:53
10530637043004,48,ksoftirqd/5,5,15,switch
10530729869685,637077,iperf3,6,3,switch
10530805722163,232999,kworker/0:0,0,6,switch
10531006618378,637077,iperf3,6,2,switch
10531139166755,637077,iperf3,6,2,switch
10531351153160,637077,iperf3,2,2,switch
10531429091145,637077,iperf3,3,4,switch
10531455700153,637076,iperf3,5,1,switch
10531481230634,637076,iperf3,6,2,switch
10531505470867,637076,iperf3,3,1,switch
10531524921364,30,ksoftirqd/2,2,4,switch
10531544161070,637076,iperf3,5,1,switch
15:53:54
10531563672337,54,ksoftirqd/6,6,5,switch
10531587353507,637076,iperf3,3,2,switch
10531615774262,637077,iperf3,2,1,switch
10531647325025,637076,iperf3,6,2,switch
10531762649130,60,ksoftirqd/7,7,7,switch
10531844923521,637077,iperf3,1,0,switch
10531870795334,54,ksoftirqd/6,6,2,switch
10531955925699,637077,iperf3,0,3,switch
10532161716770,637077,iperf3,3,3,switch
10532332933908,637077,iperf3,3,4,switch
10532443916915,6201,language_server,3,1,switch
15:53:55
10532647530827,637077,iperf3,3,4,switch
10532763985711,635528,bash,3,2,switch
10532868609120,639097,bash,5,6,switch
10532926800072,637077,iperf3,4,3,switch
10533003168667,637077,iperf3,6,3,switch
10533160815096,6200,language_server,0,4,switch
10533311954045,637077,iperf3,1,4,switch
10533441106147,1293,irq/165-rtw88_p,0,3,switch
15:53:56
10533610021814,332,arc_reap,1,5,switch
10533721086883,637077,iperf3,1,4,switch
10533841465385,637077,iperf3,3,13,switch
10533976054174,3960,tracker-miner-f,2,2,switch
10534082992165,637077,iperf3,3,2,switch
10534228278598,637077,iperf3,3,2,switch
10534312569992,637077,iperf3,7,2,switch
10534387347076,637077,iperf3,3,2,switch
10534415746817,637076,iperf3,1,1,switch
10534436068121,637076,iperf3,1,1,switch
10534468067647,637077,iperf3,0,3,switch
15:53:57
10534693998972,6210,language_server,0,3,switch
10534854262094,637077,iperf3,1,2,switch
10534990935327,24,ksoftirqd/1,1,5,switch
10535106241503,637077,iperf3,5,2,switch
10535184289325,637077,iperf3,1,2,switch
10535325481282,637077,iperf3,5,2,switch
10535442411232,637077,iperf3,5,2,switch
15:53:58
10535559834570,637077,iperf3,3,4,switch
10535647364195,637077,iperf3,1,2,switch
10535736179248,635529,bash,0,2,switch
10535900504392,14,ksoftirqd/0,0,2,switch
10536017392847,637077,iperf3,3,6,switch
10536093651819,637077,iperf3,3,4,switch
10536193613713,6201,language_server,2,2,switch
10536288672175,637077,iperf3,3,5,switch
10536398073365,635506,iperf3,1,2,switch
10536423198829,637076,iperf3,3,1,switch
10536443639234,48,ksoftirqd/5,5,8,switch
10536463551880,637076,iperf3,3,1,switch
10536489418557,637076,iperf3,0,1,switch
10536516634930,637076,iperf3,3,1,switch
15:53:59
10536680416396,637077,iperf3,1,2,switch
10536784445121,637077,iperf3,3,4,switch
10536870777993,637077,iperf3,1,2,switch
10536979304800,637077,iperf3,1,2,switch
10537061107822,637077,iperf3,5,2,switch
10537172302515,635526,bash,1,4,switch
10537292409030,637077,iperf3,7,4,switch
10537399428931,637077,iperf3,3,2,switch
10537420579249,637076,iperf3,5,1,switch
10537440875792,36,ksoftirqd/3,3,5,switch
10537462271379,637076,iperf3,2,1,switch
10537482784431,637076,iperf3,5,1,switch
10537504405265,637076,iperf3,5,1,switch
10537539961645,393,z_wr_int_1,1,3,switch
15:54:00
10537666011542,30,ksoftirqd/2,2,2,switch
10537786790289,5113,Chrome_IOThread,1,3,switch
10537955110079,637077,iperf3,3,2,switch
10538173943612,637077,iperf3,7,2,switch
10538276737291,637077,iperf3,1,4,switch
10538399487774,637077,iperf3,1,4,switch
10538547494894,637077,iperf3,1,4,switch
15:54:01
10538685478640,637077,iperf3,1,4,switch
10538829909298,3960,tracker-miner-f,2,2,switch
10539030406305,637077,iperf3,0,2,switch
10539215852222,637077,iperf3,1,4,switch
10539330295956,637077,iperf3,1,4,switch
10539418575984,637076,iperf3,1,1,switch
10539497476203,637077,iperf3,5,2,switch
15:54:02
10539560827353,637077,iperf3,5,2,switch
10539693189966,637077,iperf3,1,2,switch
10539853523965,6201,language_server,5,4,switch
10540107609063,637077,iperf3,1,2,switch
10540244283397,637077,iperf3,1,2,switch
10540306755855,637077,iperf3,5,2,switch
10540379464876,18,migration/0,0,4,switch
10540426703634,637077,iperf3,0,2,switch
15:54:03
10540594092006,6201,language_server,4,3,switch
10540745488390,637077,iperf3,3,1,switch
10540789744272,637077,iperf3,3,1,switch
10540900043814,637077,iperf3,5,6,switch
10541028500092,637077,iperf3,1,2,switch
10541129085001,637077,iperf3,1,2,switch
10541345057631,637077,iperf3,1,2,switch
10541473752580,637077,iperf3,2,4,switch
15:54:04
10541655196223,637077,iperf3,3,2,switch
10541779309703,639888,bash,0,8,switch
10542078748050,637077,iperf3,6,16,switch
10542402030261,637076,iperf3,3,2,switch
10542427687166,637076,iperf3,6,1,switch
10542451717337,637076,iperf3,6,1,switch
10542485049082,391,z_wr_iss,3,3,switch
15:54:05
10542648966201,392,z_wr_int_0,6,198,switch
10542736730415,637077,iperf3,7,2,switch
10542807475715,637077,iperf3,7,4,switch
10543049862753,14,ksoftirqd/0,0,2,switch
10543398230178,637076,iperf3,7,2,switch
10543427968135,637076,iperf3,7,2,switch
10543457545359,637076,iperf3,7,2,switch
10543486520257,637076,iperf3,7,0,switch
10543516589537,637076,iperf3,7,2,switch
10543548559420,3960,tracker-miner-f,3,2,switch
15:54:06
10543656253884,637077,iperf3,3,4,switch
10543786016148,15,rcu_preempt,7,3,switch
10543878133234,637077,iperf3,3,6,switch
10544489923026,637077,iperf3,0,12,switch
15:54:07
10544720814648,42,ksoftirqd/4,4,3,switch
10545056503801,5255,Compositor,4,3,switch
10545189583607,637077,iperf3,4,2,switch
10545435976551,637077,iperf3,6,2,switch
10545554223309,637077,iperf3,7,2,switch
15:54:08
10545648861844,637077,iperf3,7,2,switch
10545744778025,637077,iperf3,6,4,switch
10545811499233,6203,language_server,6,2,switch
10545861010818,6210,language_server,2,1,switch
10545982585338,5230,VizCompositorTh,3,2,switch
10546099763434,60,ksoftirqd/7,7,23,switch
10546276263127,5098,antigravity,0,3,switch
10546418599373,174,kworker/6:1H,6,1,switch
15:54:09
10546613492064,635489,kworker/u33:3,5,1,switch
10546783757098,637077,iperf3,7,3,switch
10546852615741,5255,Compositor,3,2,switch
10546985320453,637077,iperf3,0,36,switch
10547138536015,54,ksoftirqd/6,6,10,switch
10547311583676,5229,Chrome_ChildIOT,7,2,switch
10547410601806,60,ksoftirqd/7,7,11,switch
15:54:10
10547702133781,5113,Chrome_IOThread,1,2,switch
10547790074990,393,z_wr_int_1,3,1,switch
10547828293866,637077,iperf3,3,5,switch
10547866955698,60,ksoftirqd/7,7,5,switch
10547924331647,400,z_flush_int,0,3,switch
10548018612376,637077,iperf3,6,2,switch
10548191689612,637077,iperf3,2,2,switch
10548398928574,637076,iperf3,4,1,switch
10548427753550,637077,iperf3,4,17,switch
10548498226680,637077,iperf3,4,6,switch
15:54:11
10548685153352,5289,ThreadPoolForeg,3,1,switch
10548871821853,640465,pool-tracker-mi,3,2,switch
10549006507628,5113,Chrome_IOThread,0,822,switch
10549102647091,5230,VizCompositorTh,6,5,switch
10549252037751,3414,KMS thread,3,6,switch
10549458037747,637077,iperf3,0,27,switch
15:54:12
10549652043878,3414,KMS thread,3,3,switch
10549942977044,6210,language_server,0,9,switch
10550170371572,6201,language_server,7,1,switch
10550355099693,5113,Chrome_IOThread,1,2,switch
10550408687967,637076,iperf3,1,1,switch
10550433710270,637076,iperf3,2,0,switch
10550463524014,637076,iperf3,6,2,switch
10550489939511,637076,iperf3,3,1,switch
10550515953483,637076,iperf3,2,0,switch
15:54:13
10550558484192,637077,iperf3,6,2,switch
10550725113642,637077,iperf3,3,3,switch
10550784834306,637077,iperf3,7,3,switch
10550852443612,637077,iperf3,7,3,switch
