@runq_delay_us: 
[2, 4)             21187 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              5323 |@@@@@@@@@@@@@                                       |
[8, 16)             1369 |@@@                                                 |
[16, 32)            1104 |@@                                                  |
[32, 64)            1564 |@@@                                                 |
[64, 128)            272 |                                                    |
[128, 256)           153 |                                                    |
[256, 512)            86 |                                                    |
[512, 1K)             91 |                                                    |
[1K, 2K)              53 |                                                    |
[2K, 4K)              56 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 69982
@runq_delay_us: 
[0]                  307 |                                                    |
[1]                 4870 |@@@@@@@@@@@                                         |
[2, 4)             22212 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              5585 |@@@@@@@@@@@@@                                       |
[8, 16)             1427 |@@@                                                 |
[16, 32)            1167 |@@                                                  |
[32, 64)            1605 |@@@                                                 |
[64, 128)            298 |                                                    |
[128, 256)           166 |                                                    |
[256, 512)            95 |                                                    |
[512, 1K)             98 |                                                    |
[1K, 2K)              55 |                                                    |
[2K, 4K)              60 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 73786
@runq_delay_us: 
[0]                  319 |                                                    |
[1]                 5088 |@@@@@@@@@@@                                         |
[2, 4)             23194 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              5807 |@@@@@@@@@@@@@                                       |
[8, 16)             1464 |@@@                                                 |
[16, 32)            1181 |@@                                                  |
[32, 64)            1629 |@@@                                                 |
[64, 128)            299 |                                                    |
[128, 256)           166 |                                                    |
[256, 512)            96 |                                                    |
[512, 1K)            103 |                                                    |
[1K, 2K)              55 |                                                    |
[2K, 4K)              60 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 76795
@runq_delay_us: 
[0]                  320 |                                                    |
[1]                 5316 |@@@@@@@@@@@                                         |
[2, 4)             24251 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              6059 |@@@@@@@@@@@@                                        |
