@runq_delay_us: 
[2, 4)             55350 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@    |
[4, 8)              7100 |@@@@@@                                              |
[8, 16)             1918 |@                                                   |
[16, 32)            1503 |@                                                   |
[32, 64)             943 |                                                    |
[64, 128)            146 |                                                    |
[128, 256)            73 |                                                    |
[256, 512)            52 |                                                    |
[512, 1K)             57 |                                                    |
[1K, 2K)              76 |                                                    |
[2K, 4K)              37 |                                                    |
[4K, 8K)              13 |                                                    |
[8K, 16K)              2 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 267096
@runq_delay_us: 
[0]                10651 |@@@@@@@@                                            |
[1]                62502 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             58562 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@    |
[4, 8)              7491 |@@@@@@                                              |
[8, 16)             2032 |@                                                   |
[16, 32)            1590 |@                                                   |
[32, 64)            1014 |                                                    |
[64, 128)            150 |                                                    |
[128, 256)            75 |                                                    |
[256, 512)            56 |                                                    |
[512, 1K)             64 |                                                    |
[1K, 2K)              83 |                                                    |
[2K, 4K)              43 |                                                    |
[4K, 8K)              13 |                                                    |
[8K, 16K)              2 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 285790
@runq_delay_us: 
[0]                11974 |@@@@@@@@@                                           |
[1]                65675 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             61878 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@    |
[4, 8)              7888 |@@@@@@                                              |
[8, 16)             2142 |@                                                   |
[16, 32)            1667 |@                                                   |
[32, 64)            1075 |                                                    |
[64, 128)            162 |                                                    |
[128, 256)            81 |                                                    |
[256, 512)            60 |                                                    |
[512, 1K)             69 |                                                    |
[1K, 2K)              92 |                                                    |
[2K, 4K)              48 |                                                    |
[4K, 8K)              14 |                                                    |
[8K, 16K)              3 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 302635
@runq_delay_us: 
[0]                13071 |@@@@@@@@@                                           |
[1]                69593 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             64003 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[4, 8)              8275 |@@@@@@                                              |
[8, 16)             2250 |@                                                   |
[16, 32)            1750 |@                                                   |
[32, 64)            1147 |                                                    |
[64, 128)            168 |                                                    |
[128, 256)            82 |                                                    |
[256, 512)            64 |                                                    |
[512, 1K)             72 |                                                    |
[1K, 2K)              98 |                                                    |
[2K, 4K)              51 |                                                    |
[4K, 8K)              15 |                                                    |
[8K, 16K)              3 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 318130
@runq_delay_us: 
[0]                13101 |@@@@@@@@@                                           |
[1]                74598 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             66527 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@      |
[4, 8)              8642 |@@@@@@                                              |
[8, 16)             2335 |@                                                   |
[16, 32)            1818 |@                                                   |
[32, 64)            1190 |                                                    |
[64, 128)            171 |                                                    |
[128, 256)            85 |                                                    |
[256, 512)            69 |                                                    |
[512, 1K)             76 |                                                    |
[1K, 2K)             100 |                                                    |
[2K, 4K)              53 |                                                    |
[4K, 8K)              16 |                                                    |
[8K, 16K)              3 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 334309
@runq_delay_us: 
[0]                13176 |@@@@@@@@                                            |
[1]                76925 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             68391 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@      |
[4, 8)              8956 |@@@@@@                                              |
[8, 16)             2413 |@                                                   |
[16, 32)            1917 |@                                                   |
[32, 64)            1254 |                                                    |
[64, 128)            183 |                                                    |
[128, 256)            88 |                                                    |
[256, 512)            75 |                                                    |
[512, 1K)             88 |                                                    |
[1K, 2K)             116 |                                                    |
[2K, 4K)              58 |                                                    |
[4K, 8K)              18 |                                                    |
[8K, 16K)              4 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 343897
@runq_delay_us: 
[0]                13197 |@@@@@@@@                                            |
[1]                81720 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             71705 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@       |
[4, 8)              9343 |@@@@@                                               |
[8, 16)             2494 |@                                                   |
[16, 32)            1978 |@                                                   |
[32, 64)            1301 |                                                    |
[64, 128)            185 |                                                    |
[128, 256)            90 |                                                    |
[256, 512)            75 |                                                    |
[512, 1K)             91 |                                                    |
[1K, 2K)             117 |                                                    |
[2K, 4K)              60 |                                                    |
[4K, 8K)              19 |                                                    |
[8K, 16K)              4 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 361220
@runq_delay_us: 
[0]                13385 |@@@@@@@                                             |
[1]                87110 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             75159 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@        |
[4, 8)              9785 |@@@@@                                               |
[8, 16)             2580 |@                                                   |
[16, 32)            2058 |@                                                   |
[32, 64)            1343 |                                                    |
[64, 128)            191 |                                                    |
[128, 256)            92 |                                                    |
[256, 512)            77 |                                                    |
[512, 1K)             91 |                                                    |
[1K, 2K)             120 |                                                    |
[2K, 4K)              60 |                                                    |
[4K, 8K)              19 |                                                    |
[8K, 16K)              4 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 380476
@runq_delay_us: 
[0]                13595 |@@@@@@@                                             |
[1]                96184 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             77647 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@           |
[4, 8)             10210 |@@@@@                                               |
[8, 16)             2656 |@                                                   |
[16, 32)            2114 |@                                                   |
[32, 64)            1383 |                                                    |
[64, 128)            199 |                                                    |
[128, 256)            96 |                                                    |
[256, 512)            81 |                                                    |
[512, 1K)             92 |                                                    |
[1K, 2K)             125 |                                                    |
[2K, 4K)              61 |                                                    |
[4K, 8K)              19 |                                                    |
[8K, 16K)              4 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 405141
@runq_delay_us: 
[0]                14199 |@@@@@@@                                             |
[1]               103314 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             82503 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@           |
[4, 8)             10887 |@@@@@                                               |
[8, 16)             2782 |@                                                   |
[16, 32)            2342 |@                                                   |
[32, 64)            1443 |                                                    |
[64, 128)            214 |                                                    |
[128, 256)           103 |                                                    |
[256, 512)            86 |                                                    |
[512, 1K)             99 |                                                    |
[1K, 2K)             132 |                                                    |
[2K, 4K)              64 |                                                    |
[4K, 8K)              20 |                                                    |
[8K, 16K)              4 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 432381
@runq_delay_us: 
[0]                15795 |@@@@@@@                                             |
[1]               112763 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             86570 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@             |
[4, 8)             11372 |@@@@@                                               |
[8, 16)             2898 |@                                                   |
[16, 32)            2432 |@                                                   |
[32, 64)            1500 |                                                    |
[64, 128)            237 |                                                    |
[128, 256)           114 |                                                    |
[256, 512)            89 |                                                    |
[512, 1K)            104 |                                                    |
[1K, 2K)             136 |                                                    |
[2K, 4K)              70 |                                                    |
[4K, 8K)              22 |                                                    |
[8K, 16K)              5 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 464017
@runq_delay_us: 
[0]                20073 |@@@@@@@@                                            |
[1]               121558 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             93548 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@            |
[4, 8)             12204 |@@@@@                                               |
[8, 16)             3067 |@                                                   |
[16, 32)            2568 |@                                                   |
[32, 64)            1610 |                                                    |
[64, 128)            248 |                                                    |
[128, 256)           125 |                                                    |
[256, 512)            96 |                                                    |
[512, 1K)            111 |                                                    |
[1K, 2K)             141 |                                                    |
[2K, 4K)              76 |                                                    |
[4K, 8K)              24 |                                                    |
[8K, 16K)              8 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 506489
@runq_delay_us: 
[0]                20835 |@@@@@@@@                                            |
[1]               128939 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             97878 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@             |
[4, 8)             12710 |@@@@@                                               |
[8, 16)             3180 |@                                                   |
[16, 32)            2633 |@                                                   |
[32, 64)            1664 |                                                    |
[64, 128)            253 |                                                    |
[128, 256)           130 |                                                    |
[256, 512)            98 |                                                    |
[512, 1K)            113 |                                                    |
[1K, 2K)             141 |                                                    |
[2K, 4K)              76 |                                                    |
[4K, 8K)              24 |                                                    |
[8K, 16K)              8 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 532810
@runq_delay_us: 
[0]                20837 |@@@@@@@@                                            |
[1]               131073 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)            100333 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@             |
[4, 8)             13085 |@@@@@                                               |
[8, 16)             3274 |@                                                   |
[16, 32)            2697 |@                                                   |
[32, 64)            1727 |                                                    |
[64, 128)            261 |                                                    |
[128, 256)           136 |                                                    |
[256, 512)            99 |                                                    |
[512, 1K)            120 |                                                    |
[1K, 2K)             143 |                                                    |
[2K, 4K)              80 |                                                    |
[4K, 8K)              25 |                                                    |
[8K, 16K)              9 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 543096
@runq_delay_us: 
[0]                21540 |@@@@@@@@                                            |
[1]               133586 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)            103522 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@            |
[4, 8)             13446 |@@@@@                                               |
[8, 16)             3373 |@                                                   |
[16, 32)            2758 |@                                                   |
[32, 64)            1784 |                                                    |
[64, 128)            264 |                                                    |
[128, 256)           140 |                                                    |
[256, 512)           103 |                                                    |
[512, 1K)            124 |                                                    |
[1K, 2K)             143 |                                                    |
[2K, 4K)              84 |                                                    |
[4K, 8K)              25 |                                                    |
[8K, 16K)              9 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 556963
@runq_delay_us: 
[0]                22178 |@@@@@@@@                                            |
[1]               138514 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)            107778 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@            |
[4, 8)             13929 |@@@@@                                               |
[8, 16)             3476 |@                                                   |
[16, 32)            2860 |@                                                   |
[32, 64)            1848 |                                                    |
[64, 128)            277 |                                                    |
[128, 256)           145 |                                                    |
[256, 512)           105 |                                                    |
[512, 1K)            129 |                                                    |
[1K, 2K)             144 |                                                    |
[2K, 4K)              85 |                                                    |
[4K, 8K)              25 |                                                    |
[8K, 16K)              9 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 577997
@runq_delay_us: 
[0]                22203 |@@@@@@@@                                            |
[1]               141048 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)            110971 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@            |
[4, 8)             14394 |@@@@@                                               |
[8, 16)             3599 |@                                                   |
[16, 32)            2961 |@                                                   |
[32, 64)            1922 |                                                    |
[64, 128)            285 |                                                    |
[128, 256)           151 |                                                    |
[256, 512)           110 |                                                    |
[512, 1K)            130 |                                                    |
[1K, 2K)             146 |                                                    |
[2K, 4K)              85 |                                                    |
[4K, 8K)              25 |                                                    |
[8K, 16K)              9 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 590914
@runq_delay_us: 
[0]                22270 |@@@@@@@@                                            |
[1]               144432 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)            116195 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@           |
[4, 8)             15065 |@@@@@                                               |
[8, 16)             3736 |@                                                   |
[16, 32)            3055 |@                                                   |
[32, 64)            1989 |                                                    |
[64, 128)            292 |                                                    |
[128, 256)           154 |                                                    |
[256, 512)           116 |                                                    |
[512, 1K)            131 |                                                    |
[1K, 2K)             147 |                                                    |
[2K, 4K)              85 |                                                    |
[4K, 8K)              25 |                                                    |
[8K, 16K)              9 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 610103
@runq_delay_us: 
[0]                22329 |@@@@@@@                                             |
[1]               149834 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)            119955 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@           |
[4, 8)             15597 |@@@@@                                               |
[8, 16)             3855 |@                                                   |
[16, 32)            3210 |@                                                   |
[32, 64)            2049 |                                                    |
[64, 128)            294 |                                                    |
[128, 256)           156 |                                                    |
[256, 512)           116 |                                                    |
[512, 1K)            133 |                                                    |
[1K, 2K)             148 |                                                    |
[2K, 4K)              85 |                                                    |
[4K, 8K)              25 |                                                    |
[8K, 16K)              9 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 630128
@runq_delay_us: 
[0]                23028 |@@@@@@@                                             |
[1]               153877 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)            123410 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@           |
[4, 8)             16086 |@@@@@                                               |
[8, 16)             3948 |@                                                   |
[16, 32)            3277 |@                                                   |
[32, 64)            2109 |                                                    |
[64, 128)            297 |                                                    |
[128, 256)           162 |                                                    |
[256, 512)           119 |                                                    |
[512, 1K)            135 |                                                    |
[1K, 2K)             153 |                                                    |
[2K, 4K)              85 |                                                    |
[4K, 8K)              25 |                                                    |
[8K, 16K)              9 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 647860
@runq_delay_us: 
[0]                23346 |@@@@@@@                                             |
[1]               156630 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)            127103 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@          |
[4, 8)             16612 |@@@@@                                               |
[8, 16)             4058 |@                                                   |
[16, 32)            3366 |@                                                   |
[32, 64)            2177 |                                                    |
[64, 128)            309 |                                                    |
[128, 256)           176 |                                                    |
[256, 512)           132 |                                                    |
[512, 1K)            139 |                                                    |
[1K, 2K)             153 |                                                    |
[2K, 4K)              88 |                                                    |
[4K, 8K)              26 |                                                    |
[8K, 16K)              9 |                                                    |
